#             R [au]        psi_0 [a.u.]
   5.900196673222E-1   7.695385437592E-1
   5.933531117704E-1   7.722053034270E-1
   5.966865562185E-1   7.748476342087E-1
   6.000200006667E-1   7.774655002555E-1
   6.033534451148E-1   7.800588670443E-1
   6.066868895630E-1   7.826277013759E-1
   6.100203340111E-1   7.851719713734E-1
   6.133537784593E-1   7.876916464798E-1
   6.166872229074E-1   7.901866974566E-1
   6.200206673556E-1   7.926570963811E-1
   6.233541118037E-1   7.951028166445E-1
   6.266875562519E-1   7.975238329496E-1
   6.300210007000E-1   7.999201213080E-1
   6.333544451482E-1   8.022916590381E-1
   6.366878895963E-1   8.046384247621E-1
   6.400213340445E-1   8.069603984034E-1
   6.433547784926E-1   8.092575611840E-1
   6.466882229408E-1   8.115298956210E-1
   6.500216673889E-1   8.137773855243E-1
   6.533551118371E-1   8.160000159931E-1
   6.566885562852E-1   8.181977734127E-1
   6.600220007334E-1   8.203706454515E-1
   6.633554451815E-1   8.225186210572E-1
   6.666888896297E-1   8.246416904538E-1
   6.700223340778E-1   8.267398451377E-1
   6.733557785260E-1   8.288130778742E-1
   6.766892229741E-1   8.308613826936E-1
   6.800226674222E-1   8.328847548878E-1
   6.833561118704E-1   8.348831910059E-1
   6.866895563185E-1   8.368566888504E-1
   6.900230007667E-1   8.388052474732E-1
   6.933564452148E-1   8.407288671713E-1
   6.966898896630E-1   8.426275494826E-1
   7.000233341111E-1   8.445012971816E-1
   7.033567785593E-1   8.463501142749E-1
   7.066902230074E-1   8.481740059968E-1
   7.100236674556E-1   8.499729788046E-1
   7.133571119037E-1   8.517470403740E-1
   7.166905563519E-1   8.534961995943E-1
   7.200240008000E-1   8.552204665638E-1
   7.233574452482E-1   8.569198525846E-1
   7.266908896963E-1   8.585943701578E-1
   7.300243341445E-1   8.602440329784E-1
   7.333577785926E-1   8.618688559301E-1
   7.366912230408E-1   8.634688550802E-1
   7.400246674889E-1   8.650440476744E-1
   7.433581119371E-1   8.665944521313E-1
   7.466915563852E-1   8.681200880368E-1
   7.500250008334E-1   8.696209761392E-1
   7.533584452815E-1   8.710971383429E-1
   7.566918897297E-1   8.725485977035E-1
   7.600253341778E-1   8.739753784214E-1
   7.633587786260E-1   8.753775058365E-1
   7.666922230741E-1   8.767550064223E-1
   7.700256675223E-1   8.781079077799E-1
   7.733591119704E-1   8.794362386318E-1
   7.766925564185E-1   8.807400288166E-1
   7.800260008667E-1   8.820193092819E-1
   7.833594453148E-1   8.832741120792E-1
   7.866928897630E-1   8.845044703567E-1
   7.900263342111E-1   8.857104183538E-1
   7.933597786593E-1   8.868919913943E-1
   7.966932231074E-1   8.880492258802E-1
   8.000266675556E-1   8.891821592852E-1
   8.033601120037E-1   8.902908301481E-1
   8.066935564519E-1   8.913752780663E-1
   8.100270009000E-1   8.924355436894E-1
   8.133604453482E-1   8.934716687121E-1
   8.166938897963E-1   8.944836958678E-1
   8.200273342445E-1   8.954716689216E-1
   8.233607786926E-1   8.964356326638E-1
   8.266942231408E-1   8.973756329024E-1
   8.300276675889E-1   8.982917164570E-1
   8.333611120371E-1   8.991839311511E-1
   8.366945564852E-1   9.000523258053E-1
   8.400280009334E-1   9.008969502305E-1
   8.433614453815E-1   9.017178552204E-1
   8.466948898297E-1   9.025150925445E-1
   8.500283342778E-1   9.032887149409E-1
   8.533617787260E-1   9.040387761090E-1
   8.566952231741E-1   9.047653307021E-1
   8.600286676223E-1   9.054684343205E-1
   8.633621120704E-1   9.061481435035E-1
   8.666955565186E-1   9.068045157225E-1
   8.700290009667E-1   9.074376093731E-1
   8.733624454148E-1   9.080474837681E-1
   8.766958898630E-1   9.086341991295E-1
   8.800293343111E-1   9.091978165814E-1
   8.833627787593E-1   9.097383981419E-1
