#             R [au]        psi_0 [a.u.]        psi_1 [a.u.]
   1.986732891096E-1   9.664698255571E-2   3.126965765205E-1
   1.993399779993E-1   9.757189003387E-2   3.154389914157E-1
   2.000066668889E-1   9.850216362133E-2   3.181932441877E-1
   2.006733557785E-1   9.943781048130E-2   3.209592960699E-1
   2.013400446682E-1   1.003788376786E-1   3.237371076939E-1
   2.020067335578E-1   1.013252521795E-1   3.265266390903E-1
   2.026734224474E-1   1.022770608514E-1   3.293278496896E-1
   2.033401113370E-1   1.032342704630E-1   3.321406983228E-1
   2.040068002267E-1   1.041968876838E-1   3.349651432226E-1
   2.046734891163E-1   1.051649190840E-1   3.378011420239E-1
   2.053401780059E-1   1.061383711345E-1   3.406486517649E-1
   2.060068668956E-1   1.071172502066E-1   3.435076288880E-1
   2.066735557852E-1   1.081015625717E-1   3.463780292406E-1
   2.073402446748E-1   1.090913144014E-1   3.492598080761E-1
   2.080069335645E-1   1.100865117674E-1   3.521529200548E-1
   2.086736224541E-1   1.110871606409E-1   3.550573192454E-1
   2.093403113437E-1   1.120932668928E-1   3.579729591250E-1
   2.100070002333E-1   1.131048362937E-1   3.608997925813E-1
   2.106736891230E-1   1.141218745130E-1   3.638377719127E-1
   2.113403780126E-1   1.151443871199E-1   3.667868488300E-1
   2.120070669022E-1   1.161723795819E-1   3.697469744571E-1
   2.126737557919E-1   1.172058572660E-1   3.727180993325E-1
   2.133404446815E-1   1.182448254375E-1   3.757001734101E-1
   2.140071335711E-1   1.192892892603E-1   3.786931460605E-1
   2.146738224607E-1   1.203392537968E-1   3.816969660722E-1
   2.153405113504E-1   1.213947240077E-1   3.847115816529E-1
   2.160072002400E-1   1.224557047518E-1   3.877369404305E-1
   2.166738891296E-1   1.235222007856E-1   3.907729894546E-1
   2.173405780193E-1   1.245942167639E-1   3.938196751975E-1
   2.180072669089E-1   1.256717572389E-1   3.968769435557E-1
   2.186739557985E-1   1.267548266604E-1   3.999447398513E-1
   2.193406446882E-1   1.278434293757E-1   4.030230088328E-1
   2.200073335778E-1   1.289375696294E-1   4.061116946773E-1
   2.206740224674E-1   1.300372515631E-1   4.092107409911E-1
   2.213407113570E-1   1.311424792157E-1   4.123200908116E-1
   2.220074002467E-1   1.322532565227E-1   4.154396866084E-1
   2.226740891363E-1   1.333695873166E-1   4.185694702850E-1
   2.233407780259E-1   1.344914753264E-1   4.217093831799E-1
   2.240074669156E-1   1.356189241778E-1   4.248593660686E-1
   2.246741558052E-1   1.367519373927E-1   4.280193591648E-1
   2.253408446948E-1   1.378905183893E-1   4.311893021216E-1
   2.260075335845E-1   1.390346704821E-1   4.343691340337E-1
   2.266742224741E-1   1.401843968814E-1   4.375587934386E-1
   2.273409113637E-1   1.413397006937E-1   4.407582183181E-1
   2.280076002533E-1   1.425005849211E-1   4.439673461001E-1
   2.286742891430E-1   1.436670524614E-1   4.471861136603E-1
   2.293409780326E-1   1.448391061081E-1   4.504144573235E-1
   2.300076669222E-1   1.460167485499E-1   4.536523128656E-1
   2.306743558119E-1   1.471999823711E-1   4.568996155149E-1
   2.313410447015E-1   1.483888100511E-1   4.601562999545E-1
   2.320077335911E-1   1.495832339646E-1   4.634223003233E-1
   2.326744224807E-1   1.507832563811E-1   4.666975502181E-1
   2.333411113704E-1   1.519888794651E-1   4.699819826952E-1
   2.340078002600E-1   1.532001052761E-1   4.732755302725E-1
   2.346744891496E-1   1.544169357680E-1   4.765781249310E-1
   2.353411780393E-1   1.556393727897E-1   4.798896981167E-1
   2.360078669289E-1   1.568674180842E-1   4.832101807425E-1
   2.366745558185E-1   1.581010732892E-1   4.865395031900E-1
   2.373412447082E-1   1.593403399366E-1   4.898775953116E-1
   2.380079335978E-1   1.605852194528E-1   4.932243864321E-1
   2.386746224874E-1   1.618357131579E-1   4.965798053508E-1
   2.393413113770E-1   1.630918222665E-1   4.999437803433E-1
   2.400080002667E-1   1.643535478868E-1   5.033162391638E-1
   2.406746891563E-1   1.656208910211E-1   5.066971090467E-1
   2.413413780459E-1   1.668938525655E-1   5.100863167089E-1
   2.420080669356E-1   1.681724333095E-1   5.134837883515E-1
   2.426747558252E-1   1.694566339367E-1   5.168894496623E-1
   2.433414447148E-1   1.707464550239E-1   5.203032258173E-1
   2.440081336045E-1   1.720418970414E-1   5.237250414834E-1
   2.446748224941E-1   1.733429603530E-1   5.271548208201E-1
   2.453415113837E-1   1.746496452158E-1   5.305924874815E-1
   2.460082002733E-1   1.759619517800E-1   5.340379646189E-1
   2.466748891630E-1   1.772798800891E-1   5.374911748826E-1
   2.473415780526E-1   1.786034300795E-1   5.409520404243E-1
   2.480082669422E-1   1.799326015810E-1   5.444204828990E-1
