#             R [au]          psi [a.u.]
    2.836418209105E0   3.201219085039E-4
    2.841420710355E0   3.137019405830E-4
    2.846423211606E0   3.074107235756E-4
    2.851425712856E0   3.012456754128E-4
    2.856428214107E0   2.952042658090E-4
    2.861430715358E0   2.892840152224E-4
    2.866433216608E0   2.834824938382E-4
    2.871435717859E0   2.777973205707E-4
    2.876438219110E0   2.722261620865E-4
    2.881440720360E0   2.667667318464E-4
    2.886443221611E0   2.614167891673E-4
    2.891445722861E0   2.561741383026E-4
    2.896448224112E0   2.510366275408E-4
    2.901450725363E0   2.460021483222E-4
    2.906453226613E0   2.410686343742E-4
    2.911455727864E0   2.362340608623E-4
    2.916458229115E0   2.314964435601E-4
    2.921460730365E0   2.268538380340E-4
    2.926463231616E0   2.223043388457E-4
    2.931465732866E0   2.178460787700E-4
    2.936468234117E0   2.134772280284E-4
    2.941470735368E0   2.091959935381E-4
    2.946473236618E0   2.050006181764E-4
    2.951475737869E0   2.008893800590E-4
    2.956478239120E0   1.968605918338E-4
    2.961480740370E0   1.929125999880E-4
    2.966483241621E0   1.890437841695E-4
    2.971485742871E0   1.852525565223E-4
    2.976488244122E0   1.815373610342E-4
    2.981490745373E0   1.778966728985E-4
    2.986493246623E0   1.743289978881E-4
    2.991495747874E0   1.708328717425E-4
    2.996498249125E0   1.674068595663E-4
    3.001500750375E0   1.640495552406E-4
    3.006503251626E0   1.607595808462E-4
    3.011505752876E0   1.575355860974E-4
    3.016508254127E0   1.543762477882E-4
    3.021510755378E0   1.512802692494E-4
    3.026513256628E0   1.482463798159E-4
    3.031515757879E0   1.452733343057E-4
    3.036518259130E0   1.423599125085E-4
    3.041520760380E0   1.395049186851E-4
    3.046523261631E0   1.367071810765E-4
    3.051525762881E0   1.339655514231E-4
    3.056528264132E0   1.312789044933E-4
    3.061530765383E0   1.286461376219E-4
    3.066533266633E0   1.260661702572E-4
    3.071535767884E0   1.235379435178E-4
    3.076538269135E0   1.210604197578E-4
    3.081540770385E0   1.186325821413E-4
    3.086543271636E0   1.162534342246E-4
    3.091545772886E0   1.139219995475E-4
    3.096548274137E0   1.116373212323E-4
    3.101550775388E0   1.093984615915E-4
    3.106553276638E0   1.072045017426E-4
    3.111555777889E0   1.050545412311E-4
    3.116558279140E0   1.029476976608E-4
    3.121560780390E0   1.008831063318E-4
    3.126563281641E0   9.885991988568E-5
    3.131565782891E0   9.687730795734E-5
    3.136568284142E0   9.493445683462E-5
    3.141570785393E0   9.303056912413E-5
    3.146573286643E0   9.116486342399E-5
    3.151575787894E0   8.933657400318E-5
    3.156578289145E0   8.754495048719E-5
    3.161580790395E0   8.578925755013E-5
    3.166583291646E0   8.406877461287E-5
    3.171585792896E0   8.238279554733E-5
    3.176588294147E0   8.073062838665E-5
    3.181590795398E0   7.911159504122E-5
    3.186593296648E0   7.752503102033E-5
    3.191595797899E0   7.597028515949E-5
    3.196598299150E0   7.444671935313E-5
    3.201600800400E0   7.295370829278E-5
    3.206603301651E0   7.149063921033E-5
    3.211605802901E0   7.005691162663E-5
    3.216608304152E0   6.865193710496E-5
    3.221610805403E0   6.727513900958E-5
    3.226613306653E0   6.592595226904E-5
    3.231615807904E0   6.460382314424E-5
    3.236618309155E0   6.330820900122E-5
    3.241620810405E0   6.203857808838E-5
    3.246623311656E0   6.079440931829E-5
    3.251625812906E0   5.957519205380E-5
    3.256628314157E0   5.838042589846E-5
    3.261630815408E0   5.720962049116E-5
    3.266633316658E0   5.606229530485E-5
    3.271635817909E0   5.493797944934E-5
    3.276638319160E0   5.383621147805E-5
    3.281640820410E0   5.275653919856E-5
    3.286643321661E0   5.169851948709E-5
    3.291645822911E0   5.066171810660E-5
    3.296648324162E0   4.964570952856E-5
    3.301650825413E0   4.865007675831E-5
    3.306653326663E0   4.767441116393E-5
    3.311655827914E0   4.671831230851E-5
    3.316658329165E0   4.578138778579E-5
    3.321660830415E0   4.486325305915E-5
    3.326663331666E0   4.396353130374E-5
    3.331665832916E0   4.308185325185E-5
    3.336668334167E0   4.221785704135E-5
    3.341670835418E0   4.137118806715E-5
    3.346673336668E0   4.054149883569E-5
    3.351675837919E0   3.972844882233E-5
    3.356678339170E0   3.893170433153E-5
    3.361680840420E0   3.815093835997E-5
    3.366683341671E0   3.738583046228E-5
    3.371685842921E0   3.663606661955E-5
    3.376688344172E0   3.590133911045E-5
    3.381690845423E0   3.518134638492E-5
    3.386693346673E0   3.447579294043E-5
    3.391695847924E0   3.378438920066E-5
    3.396698349175E0   3.310685139668E-5
    3.401700850425E0   3.244290145048E-5
    3.406703351676E0   3.179226686085E-5
    3.411705852926E0   3.115468059151E-5
    3.416708354177E0   3.052988096153E-5
    3.421710855428E0   2.991761153794E-5
    3.426713356678E0   2.931762103045E-5
