#             R [au]        psi_0 [a.u.]
   3.266775559185E-1   7.065694557527E-8
   3.273442448082E-1   7.123374721045E-8
   3.280109336978E-1   7.181406234650E-8
   3.286776225874E-1   7.239790509047E-8
   3.293443114770E-1   7.298528957634E-8
   3.300110003667E-1   7.357622996497E-8
   3.306776892563E-1   7.417074044415E-8
   3.313443781459E-1   7.476883522858E-8
   3.320110670356E-1   7.537052855980E-8
   3.326777559252E-1   7.597583470624E-8
   3.333444448148E-1   7.658476796321E-8
   3.340111337045E-1   7.719734265284E-8
   3.346778225941E-1   7.781357312412E-8
   3.353445114837E-1   7.843347375285E-8
   3.360112003733E-1   7.905705894165E-8
   3.366778892630E-1   7.968434311997E-8
   3.373445781526E-1   8.031534074403E-8
   3.380112670422E-1   8.095006629684E-8
   3.386779559319E-1   8.158853428818E-8
   3.393446448215E-1   8.223075925460E-8
   3.400113337111E-1   8.287675575939E-8
   3.406780226008E-1   8.352653839259E-8
   3.413447114904E-1   8.418012177098E-8
   3.420114003800E-1   8.483752053802E-8
   3.426780892696E-1   8.549874936391E-8
   3.433447781593E-1   8.616382294554E-8
   3.440114670489E-1   8.683275600648E-8
   3.446781559385E-1   8.750556329696E-8
   3.453448448282E-1   8.818225959389E-8
   3.460115337178E-1   8.886285970083E-8
   3.466782226074E-1   8.954737844797E-8
   3.473449114970E-1   9.023583069214E-8
   3.480116003867E-1   9.092823131676E-8
   3.486782892763E-1   9.162459523190E-8
   3.493449781659E-1   9.232493737418E-8
   3.500116670556E-1   9.302927270684E-8
   3.506783559452E-1   9.373761621965E-8
   3.513450448348E-1   9.444998292898E-8
   3.520117337245E-1   9.516638787773E-8
   3.526784226141E-1   9.588684613533E-8
   3.533451115037E-1   9.661137279775E-8
   3.540118003933E-1   9.733998298748E-8
   3.546784892830E-1   9.807269185349E-8
   3.553451781726E-1   9.880951457125E-8
   3.560118670622E-1   9.955046634272E-8
   3.566785559519E-1   1.002955623963E-7
   3.573452448415E-1   1.010448179869E-7
   3.580119337311E-1   1.017982483959E-7
   3.586786226208E-1   1.025558689309E-7
   3.593453115104E-1   1.033176949262E-7
   3.600120004000E-1   1.040837417423E-7
   3.606786892896E-1   1.048540247663E-7
   3.613453781793E-1   1.056285594115E-7
   3.620120670689E-1   1.064073611176E-7
   3.626787559585E-1   1.071904453509E-7
   3.633454448482E-1   1.079778276036E-7
   3.640121337378E-1   1.087695233947E-7
   3.646788226274E-1   1.095655482693E-7
   3.653455115171E-1   1.103659177987E-7
   3.660122004067E-1   1.111706475808E-7
   3.666788892963E-1   1.119797532397E-7
   3.673455781859E-1   1.127932504255E-7
   3.680122670756E-1   1.136111548150E-7
   3.686789559652E-1   1.144334821109E-7
   3.693456448548E-1   1.152602480424E-7
   3.700123337445E-1   1.160914683648E-7
