#             R [au]        psi_0 [a.u.]
   2.626754225141E-1   1.323148006532E-1
   2.633421114037E-1   1.332516120202E-1
   2.640088002933E-1   1.341922797478E-1
   2.646754891830E-1   1.351368050294E-1
   2.653421780726E-1   1.360851890018E-1
   2.660088669622E-1   1.370374327446E-1
   2.666755558519E-1   1.379935372803E-1
   2.673422447415E-1   1.389535035745E-1
   2.680089336311E-1   1.399173325354E-1
   2.686756225208E-1   1.408850250142E-1
   2.693423114104E-1   1.418565818049E-1
   2.700090003000E-1   1.428320036442E-1
   2.706756891896E-1   1.438112912114E-1
   2.713423780793E-1   1.447944451284E-1
   2.720090669689E-1   1.457814659600E-1
   2.726757558585E-1   1.467723542132E-1
   2.733424447482E-1   1.477671103378E-1
   2.740091336378E-1   1.487657347260E-1
   2.746758225274E-1   1.497682277123E-1
   2.753425114170E-1   1.507745895739E-1
   2.760092003067E-1   1.517848205300E-1
   2.766758891963E-1   1.527989207425E-1
   2.773425780859E-1   1.538168903154E-1
   2.780092669756E-1   1.548387292950E-1
   2.786759558652E-1   1.558644376699E-1
   2.793426447548E-1   1.568940153706E-1
   2.800093336445E-1   1.579274622702E-1
   2.806760225341E-1   1.589647781837E-1
   2.813427114237E-1   1.600059628680E-1
   2.820094003133E-1   1.610510160225E-1
   2.826760892030E-1   1.620999372884E-1
   2.833427780926E-1   1.631527262487E-1
   2.840094669822E-1   1.642093824288E-1
   2.846761558719E-1   1.652699052957E-1
   2.853428447615E-1   1.663342942584E-1
   2.860095336511E-1   1.674025486680E-1
   2.866762225408E-1   1.684746678173E-1
   2.873429114304E-1   1.695506509407E-1
   2.880096003200E-1   1.706304972149E-1
   2.886762892096E-1   1.717142057580E-1
   2.893429780993E-1   1.728017756300E-1
   2.900096669889E-1   1.738932058327E-1
   2.906763558785E-1   1.749884953095E-1
   2.913430447682E-1   1.760876429456E-1
   2.920097336578E-1   1.771906475677E-1
   2.926764225474E-1   1.782975079443E-1
   2.933431114370E-1   1.794082227856E-1
   2.940098003267E-1   1.805227907433E-1
   2.946764892163E-1   1.816412104106E-1
   2.953431781059E-1   1.827634803224E-1
   2.960098669956E-1   1.838895989552E-1
   2.966765558852E-1   1.850195647270E-1
   2.973432447748E-1   1.861533759972E-1
   2.980099336645E-1   1.872910310669E-1
   2.986766225541E-1   1.884325281786E-1
   2.993433114437E-1   1.895778655162E-1
   3.000100003333E-1   1.907270412053E-1
   3.006766892230E-1   1.918800533126E-1
   3.013433781126E-1   1.930368998467E-1
   3.020100670022E-1   1.941975787572E-1
   3.026767558919E-1   1.953620879354E-1
   3.033434447815E-1   1.965304252139E-1
   3.040101336711E-1   1.977025883667E-1
   3.046768225608E-1   1.988785751091E-1
   3.053435114504E-1   2.000583830980E-1
   3.060102003400E-1   2.012420099316E-1
   3.066768892296E-1   2.024294531493E-1
   3.073435781193E-1   2.036207102321E-1
   3.080102670089E-1   2.048157786022E-1
   3.086769558985E-1   2.060146556233E-1
   3.093436447882E-1   2.072173386002E-1
   3.100103336778E-1   2.084238247793E-1
   3.106770225674E-1   2.096341113482E-1
   3.113437114570E-1   2.108481954359E-1
   3.120104003467E-1   2.120660741127E-1
   3.126770892363E-1   2.132877443903E-1
   3.133437781259E-1   2.145132032217E-1
   3.140104670156E-1   2.157424475012E-1
   3.146771559052E-1   2.169754740646E-1
   3.153438447948E-1   2.182122796887E-1
   3.160105336845E-1   2.194528610921E-1
   3.166772225741E-1   2.206972149344E-1
   3.173439114637E-1   2.219453378167E-1
   3.180106003533E-1   2.231972262814E-1
   3.186772892430E-1   2.244528768123E-1
   3.193439781326E-1   2.257122858345E-1
   3.200106670222E-1   2.269754497147E-1
   3.206773559119E-1   2.282423647607E-1
   3.213440448015E-1   2.295130272218E-1
   3.220107336911E-1   2.307874332887E-1
   3.226774225808E-1   2.320655790936E-1
   3.233441114704E-1   2.333474607101E-1
   3.240108003600E-1   2.346330741529E-1
   3.246774892496E-1   2.359224153787E-1
   3.253441781393E-1   2.372154802852E-1
   3.260108670289E-1   2.385122647117E-1
   3.266775559185E-1   2.398127644392E-1
   3.273442448082E-1   2.411169751898E-1
   3.280109336978E-1   2.424248926275E-1
   3.286776225874E-1   2.437365123574E-1
   3.293443114770E-1   2.450518299266E-1
   3.300110003667E-1   2.463708408235E-1
   3.306776892563E-1   2.476935404780E-1
   3.313443781459E-1   2.490199242618E-1
   3.320110670356E-1   2.503499874880E-1
   3.326777559252E-1   2.516837254117E-1
   3.333444448148E-1   2.530211332291E-1
   3.340111337045E-1   2.543622060786E-1
   3.346778225941E-1   2.557069390399E-1
   3.353445114837E-1   2.570553271347E-1
   3.360112003733E-1   2.584073653263E-1
   3.366778892630E-1   2.597630485198E-1
   3.373445781526E-1   2.611223715621E-1
   3.380112670422E-1   2.624853292418E-1
   3.386779559319E-1   2.638519162894E-1
   3.393446448215E-1   2.652221273774E-1
   3.400113337111E-1   2.665959571200E-1
   3.406780226008E-1   2.679734000735E-1
   3.413447114904E-1   2.693544507360E-1
   3.420114003800E-1   2.707391035476E-1
   3.426780892696E-1   2.721273528904E-1
   3.433447781593E-1   2.735191930886E-1
   3.440114670489E-1   2.749146184084E-1
   3.446781559385E-1   2.763136230583E-1
   3.453448448282E-1   2.777162011885E-1
   3.460115337178E-1   2.791223468918E-1
   3.466782226074E-1   2.805320542030E-1
   3.473449114970E-1   2.819453170991E-1
   3.480116003867E-1   2.833621294995E-1
   3.486782892763E-1   2.847824852658E-1
   3.493449781659E-1   2.862063782019E-1
   3.500116670556E-1   2.876338020543E-1
   3.506783559452E-1   2.890647505116E-1
