#             E [au]      sigma_0 [au^2]      sigma_1 [au^2]    sigma_tot [au^2]
   6.200000000000E-2    8.471809168379E1    2.904955175277E1    1.137676434366E2
   6.250000000000E-2    8.437717404664E1    2.930573892333E1    1.136829129700E2
   6.300000000000E-2    8.403746027478E1    2.956105146505E1    1.135985117398E2
   6.350000000000E-2    8.369894672872E1    2.981548146883E1    1.135144281976E2
   6.400000000000E-2    8.336162977838E1    3.006902128602E1    1.134306510644E2
   6.450000000000E-2    8.302550580315E1    3.032166351370E1    1.133471693169E2
   6.500000000000E-2    8.269057119243E1    3.057340099552E1    1.132639721880E2
   6.550000000000E-2    8.235682234592E1    3.082422681928E1    1.131810491652E2
   6.600000000000E-2    8.202425567197E1    3.107413429948E1    1.130983899714E2
   6.650000000000E-2    8.169286758779E1    3.132311698241E1    1.130159845702E2
   6.700000000000E-2    8.136265452204E1    3.157116863336E1    1.129338231554E2
   6.750000000000E-2    8.103361291179E1    3.181828323684E1    1.128518961486E2
   6.800000000000E-2    8.070573920453E1    3.206445498431E1    1.127701941888E2
   6.850000000000E-2    8.037902985628E1    3.230967827536E1    1.126887081316E2
   6.900000000000E-2    8.005348133250E1    3.255394771506E1    1.126074290476E2
   6.950000000000E-2    7.972909010918E1    3.279725809778E1    1.125263482070E2
   7.000000000000E-2    7.940585267050E1    3.303960441078E1    1.124454570813E2
   7.050000000000E-2    7.908376551111E1    3.328098183055E1    1.123647473417E2
   7.100000000000E-2    7.876282513474E1    3.352138571471E1    1.122842108494E2
   7.150000000000E-2    7.844302805333E1    3.376081159777E1    1.122038396511E2
   7.200000000000E-2    7.812437079068E1    3.399925519122E1    1.121236259819E2
   7.250000000000E-2    7.780684987765E1    3.423671236788E1    1.120435622455E2
   7.300000000000E-2    7.749046185533E1    3.447317917890E1    1.119636410342E2
   7.350000000000E-2    7.717520327465E1    3.470865182306E1    1.118838550977E2
   7.400000000000E-2    7.686107069418E1    3.494312666711E1    1.118041973613E2
   7.450000000000E-2    7.654806068316E1    3.517660022814E1    1.117246609113E2
   7.500000000000E-2    7.623616982000E1    3.540906917498E1    1.116452389950E2
   7.550000000000E-2    7.592539469117E1    3.564053031953E1    1.115659250107E2
   7.600000000000E-2    7.561573189358E1    3.587098061921E1    1.114867125128E2
   7.650000000000E-2    7.530717803272E1    3.610041717498E1    1.114075952077E2
   7.700000000000E-2    7.499972972355E1    3.632883721951E1    1.113285669431E2
   7.750000000000E-2    7.469338358939E1    3.655623812234E1    1.112496217117E2
   7.800000000000E-2    7.438813626336E1    3.678261737750E1    1.111707536409E2
   7.850000000000E-2    7.408398438761E1    3.700797261701E1    1.110919570046E2
   7.900000000000E-2    7.378092461327E1    3.723230158599E1    1.110132261993E2
   7.950000000000E-2    7.347895360040E1    3.745560216020E1    1.109345557606E2
   8.000000000000E-2    7.317806801787E1    3.767787232771E1    1.108559403456E2
   8.050000000000E-2    7.287826454373E1    3.789911020025E1    1.107773747440E2
   8.100000000000E-2    7.257953986547E1    3.811931399167E1    1.106988538571E2
   8.150000000000E-2    7.228189067859E1    3.833848203464E1    1.106203727132E2
   8.200000000000E-2    7.198531368828E1    3.855661277008E1    1.105419264584E2
   8.250000000000E-2    7.168980560814E1    3.877370474155E1    1.104635103497E2
   8.300000000000E-2    7.139536316137E1    3.898975659772E1    1.103851197591E2
   8.350000000000E-2    7.110198307864E1    3.920476708469E1    1.103067501633E2
   8.400000000000E-2    7.080966210146E1    3.941873505523E1    1.102283971567E2
   8.450000000000E-2    7.051839697851E1    3.963165944778E1    1.101500564263E2
   8.500000000000E-2    7.022818446783E1    3.984353930187E1    1.100717237697E2
   8.550000000000E-2    6.993902133634E1    4.005437374709E1    1.099933950834E2
   8.600000000000E-2    6.965090435939E1    4.026416200683E1    1.099150663662E2
   8.650000000000E-2    6.936383032150E1    4.047290338534E1    1.098367337068E2
   8.700000000000E-2    6.907779601585E1    4.068059727345E1    1.097583932893E2
   8.750000000000E-2    6.879279824375E1    4.088724315591E1    1.096800413997E2
   8.800000000000E-2    6.850883381587E1    4.109284058491E1    1.096016744008E2
   8.850000000000E-2    6.822589955126E1    4.129738920286E1    1.095232887541E2
   8.900000000000E-2    6.794399227725E1    4.150088872913E1    1.094448810064E2
   8.950000000000E-2    6.766310883045E1    4.170333895526E1    1.093664477857E2
